"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"PHF12",1.73585274708576e-14,0.302643649893322,0.187,0.171,5.80069912493647e-10
"LAT2",1.77974894383761e-14,0.371997835226238,0.187,0.174,5.94738704562213e-10
"C15orf39",2.34138169327433e-14,0.362583098738456,0.158,0.142,7.82419520441481e-10
"NINJ1",3.8190193201334e-14,0.384625604174821,0.233,0.226,1.27620168620898e-09
"ASAH1",4.22994075529208e-14,0.312838572746624,0.367,0.382,1.41351930219595e-09
"DOCK8",5.5142936480881e-14,0.326976877479469,0.425,0.455,1.8427115083816e-09
"SH2D3C",1.63444361993715e-13,0.324309667076147,0.146,0.13,5.46182024474397e-09
"MGEA5",4.84060516001446e-13,0.301133781907394,0.296,0.295,1.61758502632203e-08
"RPS6KA1",6.78430632089828e-13,0.343732645675402,0.174,0.161,2.26711164325458e-08
"ZNF467",7.24167098831682e-13,0.318408347210366,0.119,0.103,2.41994919416583e-08
"GBP2",1.08422847917442e-12,0.275578374775401,0.39,0.399,3.62316630885718e-08
"DEDD2",1.36926799578238e-12,0.304789791084031,0.282,0.281,4.57568286150598e-08
"ADAMTSL4-AS1",1.56391341228015e-12,0.373403053295344,0.169,0.155,5.22612944981657e-08
"ICAM1",2.13622199330399e-12,0.323714009158052,0.119,0.103,7.13861303502395e-08
"PRKD2",2.71241696393147e-12,0.31458750189612,0.14,0.124,9.06408376836979e-08
"TBL1X",4.52284987073971e-12,0.380010637589924,0.217,0.209,1.51140074130509e-07
"HSH2D",6.51772897088203e-12,0.372619626984041,0.166,0.154,2.17802949019965e-07
"CYSTM1",7.08006240860904e-12,0.323792982497915,0.201,0.189,2.36594445508488e-07
"CREBRF",7.22613025431078e-12,0.319557115148413,0.245,0.237,2.41475594708303e-07
"PRKAR1A",9.43993563324943e-12,0.359301589643713,0.315,0.328,3.15454329056296e-07
"RBM23",1.43366337979179e-11,0.363415308484439,0.236,0.233,4.79087291625022e-07
"ABHD3",2.12954495099188e-11,0.361587184495143,0.144,0.13,7.11630036272957e-07
"ANKRD13A",2.60439306923326e-11,0.309556873458795,0.193,0.182,8.70310031945677e-07
"CNPY3",5.55282704909385e-11,0.341225403881699,0.228,0.223,1.85558821499569e-06
"ZBTB18",8.33312536374417e-11,0.259483269482237,0.103,0.088,2.78468050280239e-06
"ATP6V1B2",1.04328124339348e-10,0.341644560537417,0.32,0.333,3.486332931048e-06
"CASP8",2.03078423661308e-10,0.318337975901646,0.274,0.276,6.78627168348992e-06
"NFAM1",2.25320975986849e-10,0.385631350649132,0.184,0.177,7.52955105455253e-06
"TSC22D4",3.41956025068135e-10,0.311573108557693,0.29,0.296,1.14271444897019e-05
"PRKDC",5.82964910521276e-10,0.291196462446056,0.129,0.115,1.94809384148895e-05
"RALBP1",8.43509231202523e-10,0.360982834597731,0.179,0.171,2.81875479790947e-05
"GABARAPL1",1.1634661076334e-09,0.333978849345256,0.15,0.14,3.88795469187853e-05
"QPCT",1.75440120945172e-09,0.352707230751648,0.168,0.159,5.86268252162483e-05
"NUP214",2.35146781055086e-09,0.3289571813201,0.163,0.154,7.85789998251781e-05
"IFIT2",2.55066996581785e-09,0.343415223108726,0.203,0.193,8.52357382477352e-05
"CALCOCO1",2.93160811166542e-09,0.295468323385022,0.141,0.129,9.79655482675234e-05
"PHACTR1",3.11096453404265e-09,0.288130765628858,0.141,0.127,0.000103959101834103
"PTPRE",3.43611705388371e-09,0.323878728955274,0.338,0.358,0.000114824723589632
"CHST15",6.04356739837648e-09,0.362977437913148,0.22,0.22,0.000201957891751547
"STAT5B",6.22819204193055e-09,0.279534305282583,0.302,0.308,0.000208127493465193
"UBXN2B",6.43416950888066e-09,0.29286550981839,0.116,0.104,0.000215010642478265
"LBR",7.39162314259661e-09,0.342942112153087,0.302,0.315,0.000247005870556151
"SVIL",9.12595225809114e-09,0.330938144064383,0.144,0.133,0.000304961946608632
"FLOT1",1.09093837965521e-08,0.338608663118081,0.257,0.261,0.000364558878329382
"SNRK",1.09880925069378e-08,0.260188444297117,0.165,0.154,0.000367189087304339
"CARD8",1.69089392164102e-08,0.281395502456792,0.201,0.194,0.000565046021794779
"STXBP5",1.84454966555546e-08,0.30300116652543,0.133,0.121,0.000616393161738667
"MEFV",2.59612382629864e-08,0.348435512889078,0.123,0.113,0.000867546699034217
"LRRC25",2.60722951761242e-08,0.32490392098863,0.236,0.236,0.000871257887900542
"FAM8A1",3.11516928907303e-08,0.27566232572285,0.121,0.11,0.00104099612132953
"WWC3",3.49602826112598e-08,0.279496295812302,0.109,0.097,0.00116826776402047
"CREBBP",3.49699974872425e-08,0.292250899166236,0.256,0.258,0.00116859240603118
"NT5C2",3.53360732103576e-08,0.357690417489935,0.247,0.252,0.00118082555847052
"TUBA4A",6.81540382850682e-08,0.28400516779301,0.153,0.144,0.00227750349737213
"MAP2K4",1.2214059114366e-07,0.273112789899325,0.105,0.094,0.00408157213424769
"JPT1",1.4324947495586e-07,0.317978068612145,0.182,0.177,0.00478696770459998
"SIPA1L1",1.87219883260412e-07,0.31143694361575,0.196,0.19,0.0062563268389132
"SNAP23",2.04900168622664e-07,0.289752224810982,0.169,0.162,0.00684714893486357
"PCF11",3.00936997824157e-07,0.290625882383163,0.212,0.209,0.0100564116562899
"PHF21A",3.049880290715e-07,0.343601017263715,0.237,0.24,0.0101917849674823
"CACUL1",7.07644258943438e-07,0.321611823840566,0.147,0.14,0.0236473482011129
"WDFY3",1.12254329008208e-06,0.32356720934459,0.137,0.13,0.0375120291246729
"CD55",1.12721933200539e-06,0.272650586378996,0.41,0.444,0.0376682884176243
"FBXO33",1.31082691100078e-06,0.289727074941016,0.124,0.115,0.0438039028849131
"DENND5A",2.18577168026648e-06,0.322354602641448,0.227,0.23,0.0730419322394649
"LASP1",2.38607207957822e-06,0.314756678209262,0.343,0.372,0.0797353706832655
"YIPF3",3.19018629059378e-06,0.323679579915267,0.172,0.168,0.106606455272772
"ST8SIA4",3.90491962111306e-06,0.3576749490266,0.211,0.213,0.130490698978735
"CKLF",3.91506224286274e-06,0.283397872426776,0.126,0.119,0.130829634969744
"BID",4.53915220318415e-06,0.321799363175302,0.143,0.137,0.151684849173805
"C9orf72",5.75320641921366e-06,0.326324047887179,0.247,0.254,0.192254898910863
"MTRNR2L12",6.99283652543429e-06,0.283702352608519,0.123,0.116,0.233679618170438
"GDI1",9.07325282363689e-06,0.274416073932063,0.238,0.24,0.303200889607474
"IMPA2",1.03318034297745e-05,0.253355676523077,0.139,0.166,0.345257875212774
"USP4",1.34051548632353e-05,0.303084963188278,0.158,0.153,0.447960060064733
"CPD",1.59117041942585e-05,0.342840898329689,0.187,0.188,0.531721419059536
"ULK1",2.30230509600645e-05,0.311736214405125,0.135,0.13,0.769361293932477
"PRR13",2.38003373551584e-05,0.263399814272281,0.351,0.379,0.795335873397329
"SOS2",2.75711433597625e-05,0.287906572164794,0.188,0.185,0.921344897653183
"SELPLG",3.02741725518283e-05,0.266115420200295,0.325,0.345,1
"CLEC2B",4.07770447518588e-05,0.296529346339861,0.27,0.279,1
"TET2",4.34588866182567e-05,0.320661305366724,0.223,0.227,1
"GABARAPL2",5.21647461470918e-05,0.258798329763284,0.201,0.201,1
"MARK2",7.96916803773309e-05,0.33081360307321,0.232,0.24,1
"CMTM6",8.17427014521532e-05,0.263651913409864,0.43,0.483,1
"LILRA2",0.000103304383424877,0.342311998074736,0.156,0.155,1
"SBNO2",0.000106808945299981,0.341852492683245,0.162,0.162,1
"MAP4K4",0.000115884062314496,0.254673619312491,0.296,0.31,1
"EHBP1L1",0.000119748364774377,0.321616767491242,0.18,0.18,1
"MOSPD2",0.00013958495023333,0.255959781459204,0.103,0.096,1
"FRAT1",0.000276444119899761,0.319737119133247,0.122,0.119,1
"CRISPLD2",0.000283418811845909,0.32529126059742,0.17,0.171,1
"TMEM164",0.000319154028719073,0.332604094642376,0.121,0.116,1
"ANKRD44",0.000454678157896684,0.25981014487958,0.289,0.303,1
"RAPGEF2",0.000537511188792068,0.311938422626404,0.116,0.112,1
"TBC1D14",0.000649697522368661,0.272149719864678,0.136,0.132,1
"HRH2",0.000708063024908663,0.279311282639483,0.156,0.183,1
"TLR8",0.000864919409538982,0.303472515993505,0.141,0.139,1
"NFKBIA",0.000917448097508097,0.35776689756171,0.465,0.51,1
"ITPK1",0.00098099314220845,0.317228779193839,0.121,0.119,1
"NADK",0.00105391305848609,0.328451131123791,0.171,0.174,1
"GK",0.00153716421779474,0.264249939691357,0.119,0.116,1
"MORF4L2",0.00185091307781789,0.288134554159272,0.143,0.142,1
"RAB31",0.00185814149774858,0.271582548805877,0.331,0.356,1
"CCNDBP1",0.00198401793272675,0.278530997136821,0.188,0.192,1
"NSFL1C",0.00260891968271409,0.276507529543817,0.13,0.128,1
"BCL3",0.00378870534601435,0.347421885946332,0.2,0.211,1
"SIRPA",0.00458023511577301,0.255154376655806,0.206,0.24,1
"PPP3CA",0.00524925249659198,0.284589662570623,0.259,0.274,1
"SUSD6",0.00621702689213296,0.297213986577696,0.186,0.192,1
"RILPL2",0.00635373716915848,0.270335034145348,0.246,0.286,1
"NPL",0.00842618835674281,0.307194420232116,0.162,0.165,1
"PTPRJ",0.0125405954894009,0.31565322739501,0.282,0.307,1
"TOM1",0.0132244422807559,0.311478136900717,0.166,0.171,1
"KIF13A",0.013442210652558,0.29890501189488,0.118,0.117,1
"RGS19",0.0170183392784677,0.267280459955477,0.262,0.282,1
"SLC43A2",0.0188578299163554,0.295370206604961,0.169,0.175,1
"SLC15A4",0.0189293695635746,0.287319452302327,0.15,0.153,1
"KIAA0232",0.0215970385201089,0.252347188474436,0.121,0.12,1
"RTFDC1",0.0227789882221572,0.282989609512675,0.21,0.221,1
"FGL2",0.0298890243634812,0.26907216622454,0.275,0.299,1
"MAP3K3",0.0336406556774008,0.265251063287579,0.198,0.207,1
"TMX4",0.0373242445434599,0.255113756523886,0.234,0.246,1
"FOXO3",0.0486083031861378,0.284615000163385,0.183,0.191,1
"RNF13",0.0609375247993549,0.274273146606377,0.202,0.212,1
"RAP1A",0.0634387760119493,0.252729764364486,0.316,0.348,1
"MLF2",0.0766161587749314,0.292126181530273,0.278,0.306,1
"HIPK3",0.0775273853392629,0.287743194195273,0.215,0.228,1
"SLC2A3",0.0977721475592031,0.287916671381162,0.401,0.452,1
"SNX10",0.118374285797477,0.276474571462661,0.277,0.303,1
"AGTPBP1",0.121101593478642,0.263970050874461,0.223,0.238,1
"NOP10",0.131252527407176,0.292003283982285,0.303,0.337,1
"BAZ1A",0.131788188570332,0.266630806959341,0.316,0.347,1
"ARID4A",0.134167130068901,0.276987133510449,0.18,0.188,1
"IFNGR1",0.158115091118944,0.262927420514625,0.216,0.245,1
"ASAP1",0.176413894737158,0.273690717642079,0.288,0.315,1
"MCTP2",0.178955401008868,0.281615911659231,0.186,0.198,1
"ABHD2",0.215198265101456,0.300562333146564,0.212,0.229,1
"ITPRIP",0.224546996418782,0.270098178962646,0.152,0.159,1
"CWC25",0.267718539480858,0.256123018370442,0.146,0.152,1
"RNF141",0.300450026878341,0.250339147781815,0.137,0.142,1
"IRF2",0.328808423176853,0.259617899062784,0.199,0.212,1
"SLC8A1",0.330742382674795,0.31849364149144,0.131,0.135,1
"ECE1",0.35507023661297,0.269990588377418,0.153,0.161,1
"CFP",0.524156976047721,0.251724137141625,0.177,0.195,1
"HNRNPH2",0.614507494759872,0.251171986159368,0.166,0.181,1
"HIP1",0.675901833540082,0.269521992875613,0.109,0.118,1
"PHF20L1",0.688298217354034,0.258309142981179,0.195,0.21,1
"ATP6V1A",0.71158536609588,0.313113384884141,0.202,0.221,1
"SPOPL",0.716077322275775,0.252658102890895,0.132,0.138,1
"NRDC",0.79286994580345,0.275280574195827,0.218,0.243,1
"CR1",0.850202338328605,0.278878182880849,0.193,0.212,1
"GNAQ",0.865889640692352,0.288893291126344,0.253,0.281,1
"SECTM1",0.877079197301333,0.269999039045929,0.203,0.221,1
"PSEN1",0.91177719292584,0.250538733927242,0.16,0.171,1
"GNAI3",0.978012722632331,0.271254891482465,0.255,0.285,1
"RXRA",0.979547817025828,0.264047127991291,0.251,0.279,1
