"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"CLEC2D",3.55144399828702e-113,-0.261699766357049,0.122,0.203,1.18678604090757e-108
"BAZ2B",2.11487494756491e-112,0.642389879536661,0.271,0.203,7.06727761227765e-108
"NRGN",6.29001839172906e-112,-0.295578811917583,0.08,0.149,2.1019354459641e-107
"ATG16L2",1.01374306513214e-107,0.566839126924136,0.306,0.243,3.38762520075208e-103
"PCED1B",3.96634186164358e-107,-0.278748660868904,0.077,0.141,1.32543245990544e-102
"ARAP1",1.55154864897121e-106,0.619234593216789,0.199,0.133,5.18481012026708e-102
"USP10",5.28955485768901e-106,0.572005415606733,0.284,0.219,1.76761054679394e-101
"SLC44A2",1.14281638974852e-104,0.520927557403285,0.354,0.299,3.81894952962262e-100
"EGLN1",5.08637708255093e-104,0.514511075851191,0.167,0.101,1.69971462967604e-99
"ADGRE5",7.52604893351628e-104,0.511489454144328,0.434,0.393,2.51497977211314e-99
"AC245427.1",1.42361632224251e-103,-0.381378969231529,0.156,0.237,4.75729866403778e-99
"CREB5",2.81463742240359e-103,0.58157499103923,0.331,0.271,9.40567387444607e-99
"BCL6",3.04191366862387e-103,0.449910372772684,0.393,0.335,1.01651629064404e-98
"SSH2",5.70783050493305e-103,0.556995211073072,0.418,0.379,1.90738571983348e-98
"RASGRP4",5.83147927006383e-103,0.580658659154104,0.267,0.203,1.94870542767723e-98
"FCGRT",9.80857383382308e-103,0.558766357295042,0.271,0.209,3.27773111804866e-98
"CLEC7A",1.08119342899878e-102,0.441459157655478,0.452,0.406,3.61302408168522e-98
"HIST1H2AC",1.70630267894006e-102,0.474524967014834,0.201,0.131,5.701951662214e-98
"TMCC3",7.6809323640096e-102,0.498493111443238,0.117,0.059,2.56673716808109e-97
"C16orf54",9.08718469385351e-102,0.548238905838388,0.216,0.149,3.03666450914503e-97
"PTEN",1.02639521908926e-101,0.468051154331584,0.434,0.388,3.42990490363057e-97
"KLF12",2.16716798441143e-101,-0.265029804497112,0.078,0.141,7.24202525350767e-97
"DOK3",3.30977036416202e-101,0.522044907023336,0.37,0.317,1.10602596259202e-96
"SLC45A4",3.78777545811528e-100,0.490143978629725,0.101,0.047,1.26576092483838e-95
"CLEC4E",3.48313102050134e-99,0.519522210149697,0.302,0.239,1.16395789312093e-94
"PRKCH",3.75054762617925e-99,-0.275507460178914,0.144,0.223,1.25332050024032e-94
"IL13RA1",4.10962145853717e-99,0.532208592973775,0.159,0.097,1.37331220279937e-94
"HBB",1.69725423884522e-98,-0.969270579483967,0.445,0.554,5.67171448994908e-94
"FPR2",2.0678860952281e-97,0.635508615053048,0.187,0.126,6.91025496442375e-93
"GLT1D1",9.45468761238481e-96,0.603021296267153,0.261,0.202,3.15947295943063e-91
"BIRC3",9.70467055751727e-96,-0.255756651283512,0.094,0.16,3.24300976020555e-91
"PTPN6",3.74241520562443e-95,0.520049443550332,0.415,0.382,1.25060288926351e-90
"CYTH4",7.44089478221861e-95,0.574296080055025,0.262,0.201,2.48652380937399e-90
"ARHGAP15",2.9503235918387e-94,0.491094657549565,0.413,0.36,9.85909634684738e-90
"FKBP8",1.30887587520037e-92,0.516768987442161,0.336,0.284,4.37387051215708e-88
"SCLT1",1.55547635955626e-92,0.654083954532525,0.268,0.208,5.19793535072915e-88
"ATP6V0B",1.88232394869229e-91,0.539679714785533,0.372,0.332,6.29016193934504e-87
"LAPTM5",2.05516795846228e-91,0.286006414566535,0.67,0.67,6.8677547667934e-87
"TECPR2",1.40642982561677e-90,0.501158742032274,0.132,0.075,4.69986654826357e-86
"ARHGAP25",6.45278239820915e-90,0.520289249627495,0.306,0.249,2.15632629400955e-85
"LCK",6.52844852662666e-90,-0.254153363446869,0.107,0.173,2.18161164414283e-85
"ZFP36",1.66917082241532e-89,0.281944908466464,0.732,0.727,5.57786813726526e-85
"PYGL",4.09795013729452e-89,0.521341984443599,0.274,0.212,1.36941199737971e-84
"ITGAX",4.66212960780462e-89,0.445853050800432,0.379,0.327,1.55794385104007e-84
"ITK",5.09246391504879e-89,-0.269208815049443,0.118,0.187,1.70174866649185e-84
"PICALM",9.15108338819452e-87,0.494656896079632,0.416,0.383,3.05801753583296e-82
"IL7R",5.1722051220036e-85,-0.302224865084286,0.168,0.245,1.72839578561994e-80
"HBA2",7.24567666630748e-85,-0.733972651909121,0.396,0.488,2.42128777157997e-80
"RAF1",2.38485622483171e-84,0.567488200521847,0.263,0.208,7.96947404652012e-80
"DDX3X",3.79545661962337e-84,0.479271582580496,0.405,0.373,1.26832773857954e-79
"LAMTOR4",2.56866516886749e-82,0.527360220258647,0.334,0.29,8.5837083948045e-78
"PHC2",2.57283904175105e-81,0.572598685753673,0.277,0.228,8.59765622581947e-77
"ERGIC1",4.83825932899334e-81,0.536171451899135,0.281,0.229,1.61680111996971e-76
"PKN2",1.34464599547673e-80,0.507943853313691,0.174,0.117,4.49340352308458e-76
"HOOK2",2.41222126644821e-80,0.503369897741623,0.16,0.104,8.06091980608999e-76
"XKR8",2.44226185232594e-80,0.489239669077227,0.138,0.085,8.16130643191758e-76
"CDC42SE1",8.38180548588741e-78,0.31800987367463,0.607,0.622,2.800947939219e-73
"RAB11FIP1",1.19200191886852e-77,0.529314375281044,0.302,0.253,3.98331281228292e-73
"CFD",2.66100297377719e-76,0.521834840504766,0.152,0.099,8.89227363747122e-72
"PLEKHG3",2.63884414192073e-75,0.420192679872533,0.114,0.065,8.81822546905649e-71
"ACSL1",1.53976582892352e-74,0.462890139406291,0.355,0.311,5.14543547051371e-70
"NRBF2",2.13415384434367e-74,0.53210454656351,0.173,0.121,7.13170190164324e-70
"RFWD2",4.26186854062774e-74,0.591102554562699,0.238,0.186,1.42418861022157e-69
"FCGR3A",1.84579641269421e-72,0.3595463724906,0.276,0.217,6.16809787230026e-68
"C5AR2",7.14470109281403e-72,0.481476158960989,0.108,0.062,2.38754476418566e-67
"USP32",1.09629572825924e-71,0.536748545524071,0.164,0.112,3.6634914351239e-67
"ZCCHC6",1.10784264639197e-70,0.518123168426035,0.343,0.305,3.70207777144805e-66
"HIST2H2BE",1.12596113094388e-70,0.581723574314554,0.132,0.084,3.76262431127518e-66
"RARA",3.31637026470321e-70,0.535835621384729,0.254,0.206,1.10823145135587e-65
"AL034397.3",1.37050454377997e-69,0.570776749576157,0.209,0.158,4.57981503394951e-65
"CEP63",2.37855208382949e-69,0.520885467552208,0.165,0.115,7.948407498533e-65
"RASSF2",4.50462562313487e-69,0.498170119680528,0.306,0.264,1.50531074448298e-64
"STK40",1.0069126139443e-68,0.53679846154751,0.242,0.194,3.36479988201767e-64
"VSIR",1.20731090745024e-68,0.389022279243239,0.471,0.454,4.03447085942648e-64
"ADAM8",1.70763106242827e-68,0.451166195845991,0.363,0.328,5.70639072131655e-64
"WIPF1",6.66430884668007e-67,0.344906550587017,0.526,0.525,2.22701208729508e-62
"NAPA",1.33278394865796e-66,0.489244199637577,0.106,0.062,4.45376412123032e-62
"DHX34",2.9595763704647e-66,0.52049045011882,0.151,0.103,9.8900163571819e-62
